Name,Label,URL,Latitude,Longitude
Chapelton,Chapelton,https://www.wikidata.org/wiki/Q3439114,55.7125,-4.09253
Chile,Chile,https://www.wikidata.org/wiki/Q298,-31,-71
Chili,Chile,https://www.wikidata.org/wiki/Q298,-31,-71
China,China,https://www.wikidata.org/wiki/Q29520,35,105
Chirnside,Chirnside,https://www.wikidata.org/wiki/Q1010381,55.8021,-2.209
Chorley,Chorley,https://www.wikidata.org/wiki/Q2078535,53.653,-2.632
Chryston,Chryston,https://www.wikidata.org/wiki/Q1009980,55.9,-4.1
Clackmannan,Clackmannan,https://www.wikidata.org/wiki/Q1010098,56.1091,-3.74652
Clackminnan,Clackmannan,https://www.wikidata.org/wiki/Q1010098,56.1091,-3.74652
Clatt,Clatt,https://www.wikidata.org/wiki/Q5128602,57.322,-2.767
Cleghorn,South Lanarkshire,https://www.wikidata.org/wiki/Q209142,55.6,-3.783333333
Closeburn,"Closeburn, Dumfries and Galloway",https://www.wikidata.org/wiki/Q5135299,55.212,-3.734
Clugh,,,NA,NA
